,Loc,Lng,Lat,Cam,Police,Safety
0,Bus Stand,76.40303,30.33879,yes,yes,4
1,Shri Aurobindo International School,76.40281,30.33832,yes,yes,4
2,Saanjh Kendra Patiala,76.40539,30.33624,May Be,no,1
3,Police Station Lahori Gate,76.40421,30.33667,Yes,yes,4
4,Sirhindi Gate,76.40699,30.33546,Yes,some time,3
5,PRTC Patiala Depot,76.40685,30.33493,Yes,no,2
6,Ancient Hanuman Mandir,76.40821,30.33453,May Be,some time,2
7,Aggarsain Hospital Patiala,76.40872,30.33392,yes,yes,4
8,SDKS Bhawan,76.40967,30.33307,yes,some time,3
9,Pal petrol pump,76.41014,30.33214,no,some time,1
10,"Maruti Suzuki cars, hira automobile",76.41772,30.33115,Yes,no,2
11,Hotel Eqbal Inn,76.41802,30.33256,Yes,Yes,4
12,Hotel Uttam residency,76.42245,30.33296,Yes,no,2
13,Kartar Singh oil company,76.42277,30.33404,no,no,0
14,Tarsem furniture house,76.42619,30.33601,no,some time,1
15,"MPF Showroom, Amar tyre works",76.42708,30.33671,no,no,0
16,Harman Airconditioners Daikin Shoppe,76.42738,30.33731,May Be,no,1
17,Jain Petrol Pump,76.42927,30.33853,May Be,no,1
18,Massy world(multibrand showroom),76.43017,30.33873,yes,no,2
19,Duroflex Store - Comfort Zone,76.43059,30.33913,no,no,0
20,The grand square,76.43119,30.33914,yes,no,2
21,Ahuja Furniture,76.43191,30.34007,May Be,no,1
22,Vardhman Janhit Rasoi,76.43225,30.34002,no,no,0
23,Vardhman Steels and Metals,76.43214,30.34031,Yes,no,2
24,Burger King,76.43226,30.34091,Yes,no,2
25,Verka milk bar,76.44173,30.34764,no,no,0
26,Bypass flyover park,76.43713,30.34404,yes,Yes,4
27,Vardhman Mahaveer Health Care,76.43724,30.34526,yes,some time,3
28,Barbeque Nation - Patiala - Urban Estate,76.43738,30.34536,May Be,some time,2
29,Atwal Petrol Pump,76.43821,30.34552,May Be,no,1
30,Baani Milk Producer Company,76.43749,30.34541,May Be,no,1
31,Phase 2 Main road,76.44295,30.34814,May Be,some time,2
32,Peer ji dargah,76.44865,30.35244,no,some time,1
33,Punjabi university (main gate),76.45508,30.35691,yes,yes,4
