LOCATION,CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY,,POP,SAFETY
Bus Stand,YES,YES,VL,1,2,,,
Bus Stand,YES,YES,VL,2,3,,0-L (<41),0-VL
Bus Stand,YES,YES,L,1,3,,1-M (41-80),1-L
Bus Stand,YES,YES,L,2,4,,2-H (>80),2-M
Bus Stand,YES,YES,M,1,3,,,3-H
Bus Stand,YES,YES,M,2,4,,,4-VH
Bus Stand,YES,YES,H,1,4,,,
Bus Stand,YES,YES,H,2,4,,,
Bus Stand,YES,YES,VH,1,4,,,
Bus Stand,YES,YES,VH,2,4,,,
Shri Aurobindo International School,YES,YES,VL,0,1,,,
Shri Aurobindo International School,YES,YES,VL,1,2,,,
Shri Aurobindo International School,YES,YES,VL,2,2,,,
Shri Aurobindo International School,YES,YES,L,0,1,,,
Shri Aurobindo International School,YES,YES,L,1,2,,,
Shri Aurobindo International School,YES,YES,L,2,3,,,
Shri Aurobindo International School,YES,YES,M,0,2,,,
Shri Aurobindo International School,YES,YES,M,1,2,,,
Shri Aurobindo International School,YES,YES,M,2,3,,,
Shri Aurobindo International School,YES,YES,H,0,3,,,
Shri Aurobindo International School,YES,YES,H,1,4,,,
Shri Aurobindo International School,YES,YES,H,2,4,,,
Shri Aurobindo International School,YES,YES,VH,0,4,,,
Shri Aurobindo International School,YES,YES,VH,1,4,,,
Shri Aurobindo International School,YES,YES,VH,2,4,,,
Saanjh Kendra Patiala,MAYBE,NO,VL,0,0,,,
Saanjh Kendra Patiala,MAYBE,NO,VL,1,0,,,
Saanjh Kendra Patiala,MAYBE,NO,VL,2,1,,,
Saanjh Kendra Patiala,MAYBE,NO,L,0,0,,,
Saanjh Kendra Patiala,MAYBE,NO,L,1,1,,,
Saanjh Kendra Patiala,MAYBE,NO,L,2,2,,,
Saanjh Kendra Patiala,MAYBE,NO,M,0,0,,,
Saanjh Kendra Patiala,MAYBE,NO,M,1,1,,,
Saanjh Kendra Patiala,MAYBE,NO,M,2,2,,,
Saanjh Kendra Patiala,MAYBE,NO,H,0,1,,,
Saanjh Kendra Patiala,MAYBE,NO,H,1,2,,,
Saanjh Kendra Patiala,MAYBE,NO,H,2,3,,,
Saanjh Kendra Patiala,MAYBE,NO,VH,0,1,,,
Saanjh Kendra Patiala,MAYBE,NO,VH,1,3,,,
Saanjh Kendra Patiala,MAYBE,NO,VH,2,4,,,
Police Station Lahori Gate,YES,YES,VL,0,1,,,
Police Station Lahori Gate,YES,YES,VL,1,2,,,
Police Station Lahori Gate,YES,YES,VL,2,2,,,
Police Station Lahori Gate,YES,YES,L,0,1,,,
Police Station Lahori Gate,YES,YES,L,1,2,,,
Police Station Lahori Gate,YES,YES,L,2,3,,,
Police Station Lahori Gate,YES,YES,M,0,2,,,
Police Station Lahori Gate,YES,YES,M,1,2,,,
Police Station Lahori Gate,YES,YES,M,2,3,,,
Police Station Lahori Gate,YES,YES,H,0,3,,,
Police Station Lahori Gate,YES,YES,H,1,4,,,
Police Station Lahori Gate,YES,YES,H,2,4,,,
Police Station Lahori Gate,YES,YES,VH,0,4,,,
Police Station Lahori Gate,YES,YES,VH,1,4,,,
Police Station Lahori Gate,YES,YES,VH,2,4,,,
Sirhindi Gate,YES,MAYBE,VL,0,1,,,
Sirhindi Gate,YES,MAYBE,VL,1,1,,,
Sirhindi Gate,YES,MAYBE,VL,2,2,,,
Sirhindi Gate,YES,MAYBE,L,0,1,,,
